27:0.229003,26:0.122926,5:0.109921,89:0.081875,73:0.034288,55:0.025081,14:0.013736,23:0.010850,88:0.009088,9:0.007979
53:0.000284,92:0.000152,26:0.000140,98:0.000112,88:0.000086,67:0.000069,47:0.000060,27:0.000051,15:0.000050,14:0.000046
92:0.195562,39:0.012597,73:0.001577,52:0.000459,67:0.000398,72:0.000357,40:0.000286,58:0.000271,47:0.000231,50:0.000201
88:0.010249,35:0.007666,72:0.006393,97:0.004008,52:0.003923,6:0.003280,26:0.001633,25:0.001586,95:0.001407,30:0.000942
88:0.001445,98:0.001417,93:0.001058,15:0.001026,30:0.000395,62:0.000384,25:0.000335,35:0.000327,38:0.000238,74:0.000211
15:0.039771,38:0.028113,32:0.002843,67:0.002224,7:0.000890,58:0.000621,1:0.000064,68:0.000051,14:0.000049,47:0.000048
80:0.011089,79:0.007375,99:0.003827,72:0.002941,6:0.001785,73:0.001329,97:0.001222,52:0.001062,25:0.000834,93:0.000453
10:0.006297,53:0.000795,92:0.000679,73:0.000212,26:0.000190,7:0.000143,6:0.000135,98:0.000132,35:0.000125,14:0.000116
14:0.018702,83:0.017560,27:0.009378,95:0.001924,25:0.001669,26:0.001412,58:0.000654,60:0.000645,47:0.000141,7:0.000135
10:0.000464,15:0.000192,32:0.000107,53:0.000101,7:0.000097,38:0.000060,98:0.000043,6:0.000023,25:0.000020,58:0.000019
88:0.009274,93:0.001607,72:0.000909,6:0.000718,73:0.000669,96:0.000593,32:0.000585,47:0.000419,38:0.000405,92:0.000404
73:0.000987,92:0.000257,68:0.000074,67:0.000038,27:0.000022,32:0.000020,97:0.000020,72:0.000018,94:0.000016,51:0.000016
88:0.011511,25:0.003907,6:0.002506,72:0.001312,97:0.001293,52:0.001105,99:0.000991,42:0.000529,15:0.000511,73:0.000486
10:0.000328,92:0.000077,73:0.000077,6:0.000066,32:0.000038,58:0.000031,70:0.000025,14:0.000025,53:0.000024,68:0.000023
55:0.009276,73:0.008024,51:0.004062,35:0.001191,9:0.000507,21:0.000437,37:0.000349,66:0.000163,33:0.000151,47:0.000089
68:0.000873,88:0.000405,92:0.000144,32:0.000143,27:0.000125,38:0.000058,93:0.000054,33:0.000044,72:0.000039,98:0.000037
15:0.132632,30:0.012278,67:0.001455,53:0.001229,25:0.001137,98:0.000953,73:0.000635,58:0.000513,32:0.000471,92:0.000454
26:0.000090,92:0.000067,73:0.000048,38:0.000047,98:0.000036,40:0.000029,35:0.000026,32:0.000020,88:0.000019,21:0.000019
27:0.000310,20:0.000185,5:0.000055,74:0.000043,59:0.000041,68:0.000034,62:0.000025,33:0.000019,95:0.000018,50:0.000018
73:0.000264,88:0.000158,98:0.000138,30:0.000130,58:0.000111,95:0.000079,26:0.000045,50:0.000038,67:0.000034,92:0.000033
73:0.002344,25:0.000661,50:0.000366,30:0.000343,88:0.000278,92:0.000208,32:0.000108,72:0.000105,98:0.000058,99:0.000048
14:0.020972,26:0.002970,32:0.002041,55:0.001209,37:0.000725,7:0.000582,83:0.000390,27:0.000352,62:0.000119,15:0.000102
40:0.006709,27:0.004707,65:0.001491,33:0.001198,74:0.001134,93:0.000688,5:0.000625,68:0.000615,20:0.000364,59:0.000358
7:0.167802,38:0.087537,32:0.018584,19:0.009584,58:0.006585,45:0.003153,5:0.001727,26:0.001679,27:0.001553,21:0.001402
55:0.064066,23:0.056598,44:0.009709,8:0.006579,17:0.006200,82:0.004418,89:0.003896,9:0.002830,50:0.001710,26:0.001578
86:0.110284,39:0.052973,3:0.037258,52:0.024541,26:0.006107,27:0.005272,95:0.003852,10:0.002992,88:0.002272,21:0.001903
4:0.040173,26:0.016620,83:0.001453,14:0.001237,50:0.000935,30:0.000558,74:0.000549,47:0.000526,67:0.000386,66:0.000166
5:0.042621,88:0.010938,81:0.008129,40:0.002552,54:0.001790,33:0.001045,59:0.000920,97:0.000844,44:0.000482,48:0.000421
25:0.340213,6:0.161973,42:0.027014,99:0.009689,92:0.005717,52:0.004945,84:0.001174,58:0.000728,15:0.000526,32:0.000384
7:0.978323,32:0.070069,58:0.059530,38:0.032409,45:0.030900,19:0.006477,1:0.003570,26:0.002956,27:0.002892,21:0.002054
8:0.044311,57:0.016633,88:0.011260,27:0.009133,68:0.006318,69:0.006007,26:0.005299,16:0.004334,33:0.003240,5:0.002018
10:0.010044,92:0.000900,73:0.000238,40:0.000080,6:0.000072,32:0.000028,88:0.000021,35:0.000019,29:0.000019,38:0.000017
96:0.010555,25:0.004767,15:0.004464,32:0.002903,14:0.002201,38:0.001647,30:0.001400,98:0.001009,58:0.000975,88:0.000555
11:0.063590,27:0.015331,26:0.015038,88:0.007166,95:0.004432,25:0.003423,30:0.003337,14:0.003138,60:0.003085,46:0.002368
38:0.064867,21:0.051277,26:0.020841,47:0.016227,12:0.009292,32:0.002032,5:0.000878,73:0.000649,66:0.000595,7:0.000317
20:0.015057,74:0.009862,26:0.002868,88:0.002093,69:0.001716,8:0.001006,68:0.000915,33:0.000913,30:0.000684,35:0.000621
38:0.011481,21:0.005431,5:0.001209,26:0.000228,40:0.000220,98:0.000098,46:0.000094,27:0.000069,47:0.000058,90:0.000048
21:0.957704,38:0.588462,47:0.112728,26:0.021557,66:0.004185,5:0.000951,43:0.000608,40:0.000524,89:0.000374,73:0.000316
88:0.909429,22:0.442721,40:0.028843,50:0.012508,59:0.005419,27:0.005190,5:0.002737,54:0.002599,46:0.002389,44:0.002183
24:0.677674,40:0.001935,0:0.001006,46:0.000140,27:0.000103,22:0.000057,35:0.000056,26:0.000033,52:0.000023,7:0.000021
38:0.000663,7:0.000246,32:0.000173,26:0.000073,40:0.000036,98:0.000036,68:0.000030,88:0.000024,47:0.000022,24:0.000019
25:0.810518,15:0.109564,42:0.028097,6:0.013575,45:0.004034,84:0.003230,58:0.002303,92:0.001376,67:0.000979,95:0.000596
44:0.014751,50:0.013161,23:0.011987,55:0.003255,17:0.001461,9:0.001270,82:0.000554,5:0.000492,71:0.000330,26:0.000215
51:0.042458,35:0.030174,73:0.016011,89:0.003999,9:0.003012,21:0.001218,88:0.000987,47:0.000908,33:0.000321,94:0.000225
27:0.132936,5:0.018573,26:0.009313,88:0.006459,14:0.001538,40:0.001260,59:0.000813,69:0.000772,47:0.000742,73:0.000630
6:0.000081,32:0.000075,73:0.000071,14:0.000056,10:0.000035,38:0.000028,7:0.000023,92:0.000019,47:0.000017,26:0.000017
72:0.545570,97:0.289630,80:0.031304,93:0.002867,99:0.001498,10:0.000909,39:0.000699,52:0.000124,88:0.000089,92:0.000082
98:0.089298,38:0.016236,15:0.001498,21:0.001238,62:0.000923,30:0.000903,58:0.000881,26:0.000629,7:0.000434,32:0.000425
33:0.006703,88:0.004359,68:0.002691,20:0.001639,27:0.000763,57:0.000626,5:0.000571,14:0.000244,8:0.000229,40:0.000164
92:0.070236,73:0.012028,67:0.000176,32:0.000107,68:0.000089,33:0.000054,72:0.000054,96:0.000050,40:0.000037,89:0.000035
10:0.007981,53:0.001413,30:0.000393,92:0.000343,73:0.000171,6:0.000118,62:0.000093,98:0.000088,58:0.000087,38:0.000078
99:0.821634,63:0.145968,42:0.019449,6:0.003130,37:0.002211,84:0.000576,52:0.000549,25:0.000454,92:0.000322,32:0.000316
100:0.108298,40:0.002009,88:0.000970,5:0.000712,27:0.000569,38:0.000463,21:0.000149,98:0.000148,33:0.000113,8:0.000095
68:0.000702,32:0.000478,14:0.000388,98:0.000351,38:0.000228,7:0.000087,26:0.000086,73:0.000063,88:0.000061,21:0.000043
50:0.007390,88:0.006947,72:0.005344,73:0.001705,93:0.000966,99:0.000718,92:0.000464,10:0.000390,37:0.000296,30:0.000269
99:0.014802,25:0.010853,52:0.007873,79:0.007663,70:0.006062,63:0.003471,88:0.002755,72:0.001877,15:0.001839,95:0.001686
6:0.000323,32:0.000220,15:0.000175,53:0.000141,58:0.000078,14:0.000067,26:0.000033,88:0.000028,92:0.000026,27:0.000026
58:0.002818,26:0.002493,83:0.001508,95:0.001138,14:0.001022,47:0.000398,4:0.000390,66:0.000242,60:0.000103,40:0.000084
74:0.622966,25:0.017928,66:0.001751,58:0.001489,8:0.001258,69:0.000969,14:0.000882,26:0.000870,67:0.000727,6:0.000655
26:0.004338,45:0.002463,98:0.001233,95:0.001000,73:0.000857,35:0.000815,58:0.000705,30:0.000663,14:0.000446,21:0.000444
27:0.027361,14:0.017025,83:0.003258,95:0.002350,73:0.000462,26:0.000342,25:0.000269,5:0.000101,30:0.000047,58:0.000034
92:0.007259,98:0.000950,7:0.000697,88:0.000689,73:0.000612,38:0.000603,10:0.000482,62:0.000420,35:0.000252,32:0.000114
27:0.031349,7:0.010957,88:0.010233,93:0.003138,73:0.002660,26:0.001685,96:0.001538,35:0.001366,10:0.001360,6:0.000960
26:0.003209,98:0.002293,6:0.001998,14:0.001506,93:0.000911,62:0.000603,47:0.000536,24:0.000457,5:0.000302,58:0.000264
14:0.052182,5:0.022018,27:0.019816,81:0.006355,26:0.005788,59:0.005556,96:0.005023,55:0.003928,4:0.003355,44:0.001519
23:0.069112,82:0.023929,0:0.018487,88:0.017532,72:0.016439,44:0.010135,33:0.007764,48:0.006971,43:0.005397,5:0.002937
98:0.052768,6:0.037037,38:0.026062,21:0.014747,5:0.006210,58:0.002867,47:0.002587,52:0.001479,26:0.001477,62:0.000854
40:0.027294,24:0.016031,7:0.013970,90:0.013012,26:0.008878,46:0.005795,38:0.003695,5:0.003191,35:0.002528,47:0.001523
76:0.009871,6:0.007901,95:0.002723,52:0.002034,84:0.001896,42:0.001659,73:0.001059,30:0.000912,99:0.000882,60:0.000757
83:0.014115,16:0.005898,67:0.005463,14:0.004258,81:0.003233,5:0.002670,55:0.002301,23:0.001625,26:0.001324,4:0.000819
86:0.094485,57:0.004138,52:0.001602,0:0.000931,6:0.000894,44:0.000726,3:0.000682,91:0.000679,28:0.000546,10:0.000457
14:0.008218,26:0.001510,7:0.001170,35:0.001045,5:0.000900,98:0.000833,38:0.000668,30:0.000620,8:0.000608,16:0.000399
15:0.019522,23:0.011081,73:0.010692,30:0.007812,93:0.006133,59:0.004939,27:0.003140,98:0.002981,95:0.002487,5:0.001988
53:0.008602,98:0.001349,86:0.000433,58:0.000242,52:0.000223,6:0.000216,73:0.000202,62:0.000186,95:0.000150,26:0.000112
73:0.003181,38:0.000947,66:0.000929,89:0.000269,43:0.000210,51:0.000164,19:0.000159,5:0.000054,35:0.000044,26:0.000043
38:0.036929,21:0.017871,98:0.015879,81:0.013196,5:0.006698,4:0.002864,26:0.001895,62:0.001555,47:0.001192,66:0.001163
25:0.164354,6:0.117428,42:0.070955,63:0.022791,52:0.019840,92:0.015770,58:0.011460,60:0.009308,95:0.007987,84:0.007802
10:0.063342,53:0.013359,73:0.000814,6:0.000772,95:0.000767,52:0.000533,58:0.000487,45:0.000334,26:0.000302,38:0.000203
26:0.005529,55:0.003237,82:0.002132,47:0.000893,21:0.000766,35:0.000718,4:0.000593,98:0.000476,5:0.000447,59:0.000408
66:0.005416,43:0.003278,20:0.001295,73:0.001280,74:0.000863,91:0.000401,35:0.000389,52:0.000330,44:0.000320,92:0.000280
14:0.004160,55:0.002910,23:0.002676,26:0.002100,73:0.002028,25:0.001118,32:0.001068,27:0.000434,83:0.000385,7:0.000268
44:0.008868,73:0.004662,32:0.003973,9:0.001152,21:0.000640,55:0.000621,26:0.000586,37:0.000554,82:0.000412,47:0.000366
5:0.003753,66:0.000715,44:0.000352,92:0.000338,40:0.000268,10:0.000209,41:0.000159,28:0.000148,7:0.000147,73:0.000082
15:0.016021,44:0.007650,14:0.006026,25:0.005992,32:0.005259,26:0.003260,93:0.003125,82:0.002977,24:0.002715,6:0.002363
6:0.012955,72:0.010395,73:0.009790,92:0.005683,52:0.003879,63:0.003655,67:0.002838,26:0.002083,66:0.001984,58:0.001750
92:0.004403,73:0.003084,6:0.002583,26:0.001730,98:0.001720,37:0.001631,32:0.001083,1:0.000848,7:0.000619,14:0.000479
98:0.011168,88:0.004988,7:0.002883,92:0.002596,10:0.000601,96:0.000573,32:0.000499,38:0.000488,40:0.000430,58:0.000281
53:0.004329,6:0.001545,25:0.001345,70:0.000769,15:0.000562,58:0.000338,30:0.000241,95:0.000226,93:0.000194,35:0.000073
35:0.013314,6:0.006062,24:0.003485,42:0.002368,26:0.001663,92:0.001311,52:0.000717,47:0.000184,66:0.000143,98:0.000090
40:0.024491,26:0.003492,38:0.003130,46:0.002383,7:0.002153,98:0.002001,90:0.001959,5:0.001576,24:0.001135,47:0.000706
66:0.005157,73:0.003941,47:0.002660,6:0.002434,10:0.002072,1:0.002056,26:0.002013,52:0.001148,35:0.001073,7:0.000705
96:0.005611,43:0.004860,27:0.004218,8:0.003671,33:0.003032,57:0.002482,20:0.001599,40:0.001244,10:0.000942,28:0.000763
35:0.001112,6:0.000684,32:0.000551,92:0.000506,24:0.000239,96:0.000226,66:0.000159,40:0.000078,14:0.000071,93:0.000045
74:0.012744,95:0.002762,30:0.001359,67:0.001224,25:0.001206,20:0.001109,83:0.001018,26:0.000877,6:0.000757,33:0.000630
53:0.015798,6:0.001154,58:0.001062,88:0.000887,21:0.000617,26:0.000569,98:0.000430,47:0.000227,5:0.000221,62:0.000209
55:0.029353,73:0.007629,83:0.005007,26:0.003418,25:0.003093,6:0.003083,30:0.002987,58:0.002510,37:0.001971,92:0.001407
26:0.023893,47:0.007614,7:0.003818,32:0.003225,73:0.002593,40:0.002090,24:0.001934,14:0.000947,5:0.000816,98:0.000546
38:0.029805,98:0.017332,5:0.011815,47:0.001469,21:0.001017,40:0.000963,7:0.000678,26:0.000677,66:0.000561,32:0.000336
70:0.159474,39:0.045679,99:0.025031,63:0.007330,6:0.006924,52:0.002884,42:0.001602,18:0.001540,86:0.001524,84:0.001296
6:0.011511,96:0.005676,40:0.002191,32:0.001755,98:0.001508,38:0.001297,14:0.001085,58:0.000796,70:0.000598,92:0.000494
6:0.003226,92:0.001519,99:0.000780,52:0.000644,63:0.000330,39:0.000144,73:0.000131,10:0.000057,58:0.000044,70:0.000024
92:0.003450,10:0.001950,44:0.001698,57:0.001562,96:0.001360,35:0.001270,88:0.000871,40:0.000561,24:0.000533,47:0.000517
