79:0.947854,41:0.873324,20:0.798715,89:0.633350,47:0.456544,4:0.384064,18:0.246960,23:0.097538,86:0.093861,30:0.059212
59:0.794423,96:0.696097,107:0.484400,104:0.224551,40:0.037192,22:0.025173,52:0.020841,68:0.018322,60:0.014423,9:0.014252
94:0.941260,48:0.220145,65:0.088676,47:0.067249,103:0.040128,4:0.038784,18:0.028828,86:0.017341,23:0.017298,44:0.013818
97:0.886946,45:0.308459,100:0.168850,106:0.132011,37:0.131082,8:0.100141,92:0.065013,33:0.051956,17:0.046579,40:0.041681
70:0.972295,29:0.524545,0:0.271386,30:0.239004,97:0.125635,83:0.090877,53:0.083591,37:0.045039,10:0.030987,36:0.029356
65:0.100348,25:0.093028,58:0.035645,103:0.028615,73:0.027171,14:0.011727,105:0.006727,83:0.001810,47:0.001514,9:0.001410
35:0.790932,44:0.164298,91:0.013068,29:0.007215,76:0.004176,7:0.002153,73:0.001767,9:0.001103,75:0.001062,53:0.000805
11:0.234288,4:0.131238,35:0.071279,47:0.015648,53:0.014631,44:0.013742,14:0.007305,7:0.006126,73:0.004803,66:0.002903
0:0.976437,89:0.962271,18:0.819688,103:0.048511,99:0.045231,24:0.023425,23:0.006143,48:0.005634,73:0.004950,94:0.001885
7:0.797501,11:0.389825,4:0.375528,54:0.184841,41:0.146984,47:0.076013,0:0.046817,29:0.045659,38:0.021095,13:0.014567
10:0.166573,75:0.088098,65:0.066686,83:0.033786,55:0.022499,88:0.011839,94:0.011657,97:0.010548,36:0.008905,45:0.008471
104:0.177485,55:0.162645,87:0.143626,3:0.121253,45:0.113927,19:0.061865,108:0.056112,106:0.043508,100:0.037052,64:0.034729
58:0.815397,30:0.294318,9:0.186109,75:0.161725,36:0.151934,18:0.083372,88:0.077352,10:0.040306,2:0.034267,0:0.025908
19:0.125260,38:0.105144,8:0.050016,11:0.034234,45:0.021729,4:0.021203,57:0.012732,36:0.008560,52:0.008089,88:0.006440
5:0.946146,98:0.165131,90:0.100787,59:0.024018,21:0.017755,97:0.014135,12:0.012796,25:0.009271,69:0.004042,74:0.002839
23:0.833429,47:0.298870,94:0.158304,73:0.098528,0:0.057608,48:0.025540,103:0.017671,35:0.013109,7:0.001151,9:0.001065
55:0.524918,108:0.361260,80:0.339746,7:0.210066,3:0.184361,68:0.154722,104:0.135353,22:0.053518,19:0.038832,47:0.035883
102:0.542491,46:0.422770,70:0.243869,19:0.212313,36:0.176169,13:0.157448,10:0.118408,43:0.108344,2:0.093891,11:0.058438
79:0.995830,0:0.705335,18:0.354005,99:0.084811,24:0.036570,103:0.013398,9:0.010436,35:0.008868,23:0.007014,38:0.005426
98:0.957400,26:0.758808,21:0.729774,49:0.505379,12:0.370216,108:0.251634,102:0.174367,97:0.161085,5:0.142806,85:0.109200
14:0.243589,42:0.035235,103:0.028314,77:0.026022,5:0.012299,83:0.009406,94:0.005223,25:0.004908,63:0.004835,65:0.003927
100:0.949937,97:0.685628,27:0.582408,74:0.542878,106:0.363805,45:0.335687,8:0.290010,0:0.191238,54:0.133915,47:0.049661
101:0.468557,62:0.427001,99:0.005850,23:0.004746,48:0.002076,98:0.001749,21:0.001273,105:0.000853,90:0.000745,56:0.000420
73:0.991924,65:0.797220,48:0.180426,44:0.058129,86:0.051462,23:0.022037,103:0.010480,47:0.002784,4:0.002506,35:0.001797
102:0.565484,19:0.029060,88:0.020151,81:0.013374,2:0.009380,22:0.004257,10:0.004141,83:0.003736,75:0.002690,4:0.002445
107:0.978374,104:0.890242,72:0.675285,108:0.243868,106:0.094842,100:0.055407,90:0.013536,17:0.012095,40:0.012018,22:0.009410
74:0.970800,100:0.816311,33:0.755978,92:0.672150,106:0.659876,45:0.226411,37:0.077977,59:0.050679,40:0.028327,31:0.014575
90:0.962869,21:0.933587,12:0.866129,26:0.524942,68:0.408113,102:0.389874,85:0.188310,39:0.142404,5:0.127349,97:0.087579
24:0.407755,19:0.120873,38:0.075158,89:0.037348,45:0.013508,79:0.008696,0:0.007953,8:0.001347,13:0.001245,18:0.001179
106:0.974506,92:0.939454,97:0.808341,45:0.766681,33:0.687436,59:0.565429,108:0.493501,8:0.408882,74:0.339573,67:0.147841
62:0.994275,93:0.589246,21:0.329745,5:0.130887,98:0.056320,90:0.044921,68:0.035663,103:0.034605,69:0.029721,14:0.028191
95:0.641867,68:0.507350,98:0.338196,108:0.316911,49:0.266368,88:0.234232,26:0.209363,90:0.178542,55:0.085357,22:0.029182
65:0.199667,73:0.199508,94:0.027810,23:0.025486,91:0.020925,48:0.020802,79:0.014114,18:0.011730,47:0.006755,89:0.004730
96:0.782056,108:0.695640,107:0.669643,38:0.362820,106:0.161929,87:0.119347,19:0.043513,22:0.022127,21:0.020905,40:0.018669
65:0.129819,38:0.102677,45:0.079259,48:0.034123,68:0.023775,100:0.020666,0:0.016511,4:0.015101,19:0.013752,8:0.008859
100:0.985866,45:0.912944,33:0.842559,97:0.696175,108:0.418454,74:0.344631,92:0.255189,43:0.134599,3:0.052167,17:0.043419
96:0.990964,104:0.920559,72:0.810767,108:0.281346,26:0.253535,55:0.110655,17:0.093890,40:0.073509,22:0.039258,106:0.036665
3:0.649682,104:0.525761,22:0.480440,106:0.378915,100:0.286262,55:0.265345,87:0.204166,19:0.138293,107:0.120163,102:0.081428
