123:0.204658,97:0.048798,80:0.020938,0:0.010602,17:0.009392,106:0.009159,5:0.005518,33:0.003783,102:0.003155,96:0.001460
96:0.849758,11:0.003876,97:0.001653,17:0.001604,25:0.001472,0:0.001120,82:0.000542,88:0.000392,8:0.000337,113:0.000272

82:0.067680,0:0.026772,85:0.025960,100:0.021735,130:0.008179,33:0.007853,17:0.005509,102:0.003403,41:0.003378,37:0.002836

97:0.950877,125:0.375983,147:0.087642,49:0.070962,16:0.028257,6:0.020756,66:0.006805,45:0.002827,87:0.001801,102:0.001490

99:0.972564,86:0.782225,134:0.130975,66:0.046622,116:0.042881,83:0.016162,41:0.015890,34:0.013760,91:0.013686,33:0.013014

41:0.185821,45:0.089909,0:0.086143,33:0.081529,84:0.035777,16:0.035356,92:0.027981,9:0.027375,95:0.021234,83:0.016771

102:0.708090,33:0.604053,66:0.527048,118:0.443576,0:0.333357,16:0.139877,91:0.119058,46:0.088311,45:0.085367,83:0.067607

123:0.159762,17:0.007377,82:0.001997,96:0.001997,88:0.001932,0:0.001707,102:0.001681,153:0.001336,66:0.000951,5:0.000854

11:0.015429,15:0.003200,135:0.002018,25:0.001694,47:0.001141,158:0.001088,61:0.000370,151:0.000302,30:0.000236,109:0.000174

17:0.074807,151:0.019293,83:0.013780,91:0.011977,41:0.009634,33:0.007084,0:0.004854,42:0.003972,84:0.003303,102:0.002366

5:0.025645,0:0.004591,88:0.002448,101:0.000930,106:0.000815,128:0.000734,72:0.000659,82:0.000581,21:0.000481,153:0.000450

87:0.050224,81:0.029079,19:0.024136,34:0.013845,52:0.003466,63:0.003167,83:0.001384,9:0.001201,153:0.000983,148:0.000600

5:0.114366,88:0.028007,0:0.021881,102:0.015277,93:0.013426,85:0.012342,21:0.011803,151:0.007955,106:0.007151,101:0.007092

96:0.132149,123:0.044489,153:0.001218,128:0.001130,0:0.000823,33:0.000465,5:0.000282,149:0.000276,140:0.000212,37:0.000203

101:0.447826,146:0.159047,53:0.060874,147:0.051592,72:0.018581,6:0.013777,0:0.006319,55:0.006106,93:0.005361,148:0.003982

106:0.001623,132:0.000848,82:0.000832,153:0.000534,61:0.000396,149:0.000380,48:0.000332,100:0.000244,5:0.000241,96:0.000233

37:0.120815,0:0.040463,21:0.027104,41:0.026832,33:0.014176,79:0.013148,153:0.012555,109:0.008580,47:0.002717,113:0.000171

81:0.358652,95:0.341652,4:0.261998,92:0.109163,94:0.095887,105:0.092312,155:0.078552,63:0.043531,22:0.023988,124:0.021648

83:0.355395,156:0.200410,113:0.061014,0:0.020904,91:0.018775,16:0.016016,158:0.009860,46:0.005341,96:0.001877,148:0.001468

16:0.210634,96:0.150699,147:0.100911,46:0.028951,41:0.010205,85:0.009279,82:0.007720,102:0.006691,110:0.006057,80:0.004970

96:0.005429,85:0.002141,100:0.002109,0:0.001928,21:0.001528,82:0.001172,93:0.000690,102:0.000453,153:0.000438,5:0.000375
123:0.043648,96:0.002701,100:0.002682,0:0.001691,85:0.001561,82:0.001185,93:0.000993,21:0.000883,102:0.000465,5:0.000429

134:0.140891,99:0.088263,109:0.065508,86:0.037817,153:0.019526,156:0.012528,126:0.009481,158:0.005236,148:0.002648,15:0.002246

123:0.080770,88:0.019450,17:0.015175,41:0.011857,5:0.011543,82:0.010779,37:0.008701,102:0.008175,0:0.008077,21:0.007117
123:0.067664,88:0.015409,5:0.011382,17:0.010629,37:0.009898,102:0.009501,0:0.008944,82:0.008541,101:0.008244,41:0.007228

100:0.313129,123:0.165642,17:0.121386,82:0.008420,5:0.005701,0:0.003790,33:0.003243,102:0.002849,21:0.001945,37:0.001775

34:0.262670,87:0.143812,19:0.094743,81:0.071976,99:0.033424,63:0.025081,41:0.014961,115:0.008018,0:0.005447,33:0.004688

16:0.104021,83:0.097573,147:0.074119,125:0.062447,46:0.013540,96:0.009870,66:0.006911,41:0.005814,91:0.004655,94:0.004274
83:0.092593,16:0.089008,147:0.060605,125:0.053320,96:0.016954,46:0.012517,41:0.008762,66:0.007802,91:0.004994,0:0.002606
16:0.103924,83:0.102768,147:0.070347,125:0.062183,46:0.011853,66:0.011486,96:0.010759,41:0.006735,94:0.004398,91:0.003523
16:0.106211,83:0.102918,147:0.072817,125:0.050434,46:0.014341,96:0.014185,41:0.009941,66:0.008188,91:0.007512,94:0.003259

95:0.560022,41:0.200723,16:0.025704,92:0.021324,9:0.009050,19:0.008337,46:0.007796,101:0.007390,83:0.006752,115:0.006281

5:0.013165,33:0.010121,17:0.009590,0:0.009165,88:0.004384,106:0.001476,85:0.001161,102:0.001159,41:0.000938,80:0.000793

88:0.053441,11:0.030602,66:0.024326,96:0.024238,83:0.024023,0:0.019959,33:0.011143,135:0.007362,102:0.002768,9:0.002760

21:0.037656,96:0.033148,100:0.029616,37:0.014497,17:0.011439,82:0.009481,153:0.001314,0:0.001309,33:0.001270,84:0.000589

101:0.460217,72:0.126744,5:0.029351,21:0.027139,82:0.009018,37:0.006500,132:0.005386,0:0.004697,153:0.002977,102:0.001048

83:0.055825,134:0.015223,26:0.010124,158:0.005822,113:0.005714,109:0.000989,153:0.000978,148:0.000890,135:0.000773,19:0.000513
83:0.098058,26:0.016785,134:0.015817,113:0.008831,158:0.005970,153:0.001967,148:0.001795,135:0.001727,109:0.000933,19:0.000814
83:0.113511,26:0.021790,134:0.008337,113:0.006535,15:0.003167,135:0.001423,109:0.001375,91:0.001293,153:0.001238,148:0.001167

135:0.066551,134:0.023626,152:0.023108,113:0.019933,83:0.019337,131:0.018692,65:0.015994,67:0.010695,153:0.010677,47:0.009744

96:0.064410,85:0.021034,102:0.004806,33:0.001493,5:0.001402,0:0.001352,106:0.001013,3:0.000536,9:0.000483,82:0.000435

17:0.258939,21:0.201085,82:0.144285,37:0.049241,153:0.032732,0:0.022427,100:0.011595,33:0.011454,41:0.008439,72:0.004828

91:0.000640,82:0.000575,153:0.000510,106:0.000272,13:0.000263,100:0.000181,149:0.000108,102:0.000095,30:0.000058,42:0.000051

123:0.208468,88:0.033188,17:0.028204,0:0.018175,5:0.013365,102:0.008926,33:0.008116,41:0.004398,128:0.003563,21:0.002031

87:0.265283,19:0.150327,81:0.045123,115:0.032986,34:0.024090,66:0.012163,135:0.006139,153:0.004136,83:0.002348,118:0.001939

102:0.034212,33:0.019186,0:0.012887,96:0.012781,85:0.002851,3:0.002590,13:0.002294,9:0.000587,46:0.000458,41:0.000390

41:0.100656,33:0.059694,66:0.043727,116:0.025889,17:0.022121,0:0.020713,115:0.007513,37:0.007292,118:0.005250,83:0.005239

123:0.022713,35:0.011767,5:0.004619,106:0.002406,88:0.001499,104:0.001343,61:0.001040,93:0.000919,30:0.000568,82:0.000524

34:0.046948,19:0.034174,105:0.005084,41:0.004400,18:0.002484,133:0.002218,151:0.001429,81:0.001330,155:0.001300,124:0.001103

109:0.366830,134:0.069040,83:0.040725,113:0.037132,115:0.029967,158:0.012276,135:0.008576,33:0.004156,153:0.003648,34:0.003003

0:0.059218,153:0.029441,102:0.021143,17:0.019083,33:0.018700,66:0.015570,83:0.006647,82:0.006357,88:0.006254,45:0.004621

106:0.037783,80:0.020442,5:0.003198,89:0.000893,82:0.000657,102:0.000595,85:0.000545,0:0.000488,30:0.000427,96:0.000352

132:0.014779,95:0.008462,137:0.006269,82:0.006103,148:0.003899,153:0.003600,84:0.003204,37:0.001768,116:0.001119,155:0.001020

99:0.003993,113:0.003376,134:0.003341,88:0.002050,12:0.001523,47:0.001223,151:0.001122,60:0.000673,84:0.000607,153:0.000596
99:0.003802,113:0.003757,4:0.002848,47:0.002101,88:0.001793,134:0.001690,151:0.001435,12:0.001139,63:0.000473,153:0.000398

5:0.025811,88:0.019859,27:0.010124,35:0.003920,106:0.003604,151:0.003559,61:0.002566,4:0.002381,42:0.002245,85:0.001584

41:0.024655,88:0.022687,33:0.016098,17:0.008454,5:0.007637,116:0.006223,66:0.004639,21:0.003266,9:0.003044,115:0.001943

156:0.282100,33:0.003136,0:0.002483,153:0.002171,19:0.000885,34:0.000686,21:0.000620,41:0.000600,83:0.000487,9:0.000306

123:0.057269,100:0.023936,82:0.009178,17:0.008691,153:0.002272,84:0.001172,0:0.001172,21:0.000868,85:0.000721,37:0.000670

104:0.551808,36:0.191454,26:0.134661,11:0.041475,113:0.016212,61:0.001799,91:0.001293,5:0.001227,88:0.000989,83:0.000825

37:0.050393,107:0.043491,0:0.036195,50:0.022187,21:0.015158,41:0.011753,153:0.009793,33:0.008039,72:0.007284,71:0.001749

116:0.886126,57:0.068291,151:0.068202,42:0.007451,93:0.006519,84:0.004509,5:0.003238,43:0.002043,61:0.001659,20:0.001657

96:0.002125,102:0.001817,0:0.001430,82:0.001077,85:0.000895,106:0.000607,149:0.000482,153:0.000386,33:0.000323,100:0.000146

115:0.022165,0:0.006419,33:0.004793,83:0.003482,41:0.003058,21:0.002145,153:0.001992,113:0.001374,149:0.001281,118:0.001229

91:0.002038,61:0.000590,135:0.000463,96:0.000208,42:0.000126,148:0.000119,34:0.000051,19:0.000041,17:0.000038,83:0.000035

123:0.062247,88:0.019268,17:0.013065,33:0.009335,0:0.009198,102:0.005637,82:0.005636,37:0.005363,115:0.004771,153:0.004482
123:0.033285,88:0.026533,17:0.012020,82:0.005251,0:0.004885,5:0.004008,33:0.003593,41:0.002254,118:0.001999,102:0.001293

96:0.010949,11:0.006759,0:0.004488,102:0.002581,66:0.002300,33:0.001572,83:0.000840,115:0.000517,91:0.000498,34:0.000462

11:0.141582,104:0.052533,86:0.010178,113:0.007101,47:0.003684,103:0.002831,91:0.002008,109:0.001005,87:0.000637,96:0.000381
36:0.197019,11:0.144040,113:0.032581,104:0.032038,86:0.015041,47:0.003775,109:0.002621,103:0.001913,91:0.001340,96:0.000390
11:0.168278,36:0.123605,104:0.053072,113:0.017811,38:0.010643,86:0.009407,47:0.002415,103:0.001892,109:0.001851,91:0.001581

85:0.259150,123:0.018723,88:0.013911,127:0.011747,0:0.003448,5:0.001701,106:0.001625,93:0.000935,82:0.000769,33:0.000606
85:0.242433,88:0.042311,127:0.004110,0:0.001831,3:0.000693,33:0.000498,106:0.000496,82:0.000423,102:0.000367,93:0.000329

123:0.114359,82:0.057577,100:0.016184,17:0.015023,0:0.006251,83:0.003461,85:0.002153,102:0.001809,5:0.001425,21:0.001318
123:0.105251,82:0.065694,100:0.016263,17:0.015197,0:0.012235,85:0.002421,83:0.002172,153:0.002029,37:0.001987,21:0.001935

33:0.171732,66:0.159982,45:0.058477,118:0.050717,0:0.028671,17:0.027712,41:0.014406,115:0.008322,21:0.005010,83:0.004645
33:0.209718,66:0.198794,45:0.094632,118:0.068855,0:0.022978,17:0.022866,41:0.018765,115:0.012181,151:0.010262,19:0.005443

99:0.028209,134:0.025985,86:0.014641,109:0.006760,153:0.002839,135:0.001483,158:0.001345,61:0.001014,47:0.001003,148:0.000669

123:0.079741,96:0.023723,153:0.000761,106:0.000570,5:0.000396,82:0.000316,149:0.000210,0:0.000192,100:0.000083,21:0.000069

83:0.393538,128:0.089716,26:0.014719,15:0.009813,153:0.004590,148:0.002963,131:0.002805,135:0.001671,75:0.000805,59:0.000172

92:0.007166,153:0.005278,5:0.002106,41:0.002105,95:0.000534,88:0.000405,17:0.000316,34:0.000295,100:0.000174,83:0.000153

96:0.854419,102:0.051743,11:0.034327,85:0.017457,0:0.014808,17:0.011934,91:0.003480,88:0.002443,9:0.001629,5:0.001487
96:0.864006,102:0.030711,85:0.019793,11:0.010310,17:0.006560,0:0.005570,91:0.003348,88:0.001867,9:0.001167,5:0.000944
96:0.785620,102:0.028704,11:0.010965,0:0.010613,17:0.010432,85:0.009771,91:0.004341,88:0.001740,83:0.000865,5:0.000576
96:0.861399,102:0.043518,17:0.014337,0:0.008114,85:0.006844,91:0.006337,2:0.002324,88:0.002203,44:0.001794,61:0.001194

0:0.128016,33:0.043437,21:0.013932,37:0.013176,41:0.011746,113:0.004848,82:0.004801,9:0.002528,47:0.002393,153:0.001822

147:0.207266,125:0.192399,83:0.126771,16:0.076252,46:0.008559,66:0.005589,94:0.004334,96:0.001425,9:0.001268,55:0.001133

96:0.006043,82:0.003963,102:0.003609,21:0.003413,128:0.002626,0:0.002325,106:0.002070,87:0.001315,17:0.000814,83:0.000610

60:0.551825,107:0.215389,50:0.068186,134:0.062399,86:0.044311,15:0.042043,12:0.025553,99:0.018869,147:0.006141,158:0.005469
60:0.562361,107:0.229934,134:0.096229,50:0.051930,15:0.040301,12:0.025657,159:0.016390,148:0.006773,135:0.006118,158:0.005230

66:0.017275,153:0.006965,102:0.003309,33:0.002137,35:0.002133,96:0.001702,5:0.001530,87:0.001160,47:0.000929,91:0.000824
11:0.029624,66:0.022483,35:0.009021,102:0.008307,91:0.002861,25:0.002832,96:0.002758,104:0.001811,5:0.001598,87:0.001468
66:0.013101,153:0.004099,102:0.003670,96:0.001907,33:0.001722,91:0.001324,25:0.001222,124:0.001075,87:0.000888,47:0.000546

82:0.064611,17:0.049915,5:0.015713,102:0.004641,37:0.004332,88:0.003003,21:0.002770,0:0.002204,106:0.001838,100:0.000762

83:0.029549,115:0.015670,66:0.013862,41:0.011645,113:0.010022,118:0.008929,33:0.008322,116:0.003376,91:0.003300,19:0.002351

90:0.045220,10:0.015432,2:0.006407,88:0.004573,106:0.001407,5:0.001045,30:0.000901,83:0.000498,66:0.000332,0:0.000224
90:0.036459,10:0.009995,88:0.003691,2:0.001630,106:0.001264,30:0.001179,25:0.000841,103:0.000286,83:0.000229,87:0.000161
90:0.041880,149:0.013058,10:0.011566,2:0.004119,88:0.002928,120:0.002446,106:0.001048,30:0.000626,83:0.000373,5:0.000173

104:0.316005,35:0.046445,85:0.035769,36:0.020226,5:0.007635,61:0.002293,113:0.000760,83:0.000211,8:0.000205,88:0.000174

105:0.419645,143:0.038814,124:0.028635,155:0.021345,133:0.015237,131:0.007868,81:0.005052,144:0.003575,23:0.003392,22:0.003377

109:0.959041,86:0.251939,156:0.136254,158:0.042904,113:0.039985,99:0.008462,83:0.005069,35:0.004571,21:0.004484,153:0.004259
109:0.945677,86:0.104076,113:0.032126,158:0.028319,99:0.002753,35:0.002450,104:0.002396,5:0.001040,21:0.001032,19:0.001001

110:0.661999,140:0.004539,43:0.003979,149:0.003876,106:0.001600,93:0.000935,80:0.000657,131:0.000638,5:0.000545,30:0.000418
